"","Taxon","wood.density","source"
"2","Acacia bakeri",0.774,"AUSTRAITS_dataset_49"
"4","Acacia bakeri",0.771,"AUSTRAITS_dataset_34"
"18","Acmena smithii",0.75,"AUSTRAITS_dataset_30"
"23","Acmena smithii",0.53,"AUSTRAITS_dataset_49"
"31","Acmena smithii",0.662,"AUSTRAITS_dataset_33"
"37","Acronychia oblongifolia",0.5375,"AUSTRAITS_dataset_49"
"48","Acronychia oblongifolia",0.81,"Ash J, Helman C. 1990.  Floristics and vegetation biomass of a forest catchment, Kioloa, south coastal New South Wales. Cunninghamia 2: 167-182"
"53","Ailanthus triphysa",0.375,"AUSTRAITS_dataset_34"
"54","Ailanthus triphysa",0.366,"AUSTRAITS_dataset_34"
"60","Alangium villosum",0.54,"AUSTRAITS_dataset_39"
"63","Alangium villosum",0.545,"AUSTRAITS_dataset_28"
"64","Alangium villosum",0.57,"AUSTRAITS_dataset_49"
"66","Alangium villosum",0.485,"AUSTRAITS_dataset_28"
"67","Alangium villosum",0.594,"AUSTRAITS_dataset_28"
"70","Alangium villosum",0.607,"AUSTRAITS_dataset_34"
"89","Alphitonia excelsa",0.69,"AUSTRAITS_dataset_61"
"90","Alphitonia excelsa",0.562,"AUSTRAITS_dataset_49"
"100","Alphitonia excelsa",0.5,"AUSTRAITS_dataset_61"
"108","Alphitonia excelsa",0.575,"AUSTRAITS_dataset_34"
"109","Alphitonia excelsa",0.663,"AUSTRAITS_dataset_34"
"125","Aphananthe philippinensis",0.593,"AUSTRAITS_dataset_49"
"130","Aphananthe philippinensis",0.612,"AUSTRAITS_dataset_34"
"131","Aphananthe philippinensis",0.62,"AUSTRAITS_dataset_34"
"132","Aphananthe philippinensis",0.5,"AUSTRAITS_dataset_34"
"140","Araucaria cunninghamii",0.437,"AUSTRAITS_dataset_49"
"144","Araucaria cunninghamii",0.441,"AUSTRAITS_dataset_34"
"145","Araucaria cunninghamii",0.448,"AUSTRAITS_dataset_34"
"146","Araucaria cunninghamii",0.445,"AUSTRAITS_dataset_34"
"147","Araucaria cunninghamii",0.482,"AUSTRAITS_dataset_34"
"148","Araucaria cunninghamii",0.439,"AUSTRAITS_dataset_34"
"161","Archirhodomyrtus beckleri",0.53,"AUSTRAITS_dataset_39"
"181","Argyrodendron trifoliolatum",0.758,"AUSTRAITS_dataset_34"
"182","Argyrodendron trifoliolatum",0.796,"AUSTRAITS_dataset_34"
"184","Argyrodendron trifoliolatum",0.689,"AUSTRAITS_dataset_34"
"187","Argyrodendron trifoliolatum",0.805,"AUSTRAITS_dataset_34"
"204","Arytera distylis",0.6321,"AUSTRAITS_dataset_49"
"209","Arytera divaricata",0.59,"AUSTRAITS_dataset_49"
"217","Arytera divaricata",0.633,"AUSTRAITS_dataset_34"
"223","Atalaya salicifolia",0.69,"AUSTRAITS_dataset_49"
"224","Atalaya salicifolia",0.758,"AUSTRAITS_dataset_34"
"232","Auranticarpa rhombifolia",0.7439,"AUSTRAITS_dataset_49"
"234","Auranticarpa rhombifolia",0.745,"AUSTRAITS_dataset_34"
"235","Auranticarpa rhombifolia",0.613,"AUSTRAITS_dataset_34"
"239","Backhousia myrtifolia",0.688,"AUSTRAITS_dataset_49"
"246","Backhousia myrtifolia",0.851,"AUSTRAITS_dataset_34"
"247","Backhousia myrtifolia",0.908,"AUSTRAITS_dataset_34"
"251","Backhousia myrtifolia",0.820059734,"J. Lawson"
"258","Beilschmiedia obtusifolia",0.633,"AUSTRAITS_dataset_49"
"260","Beilschmiedia obtusifolia",0.654,"AUSTRAITS_dataset_34"
"261","Beilschmiedia obtusifolia",0.663,"AUSTRAITS_dataset_34"
"262","Beilschmiedia obtusifolia",0.598,"AUSTRAITS_dataset_34"
"278","Breynia oblongifolia",0.62,"AUSTRAITS_dataset_30"
"301","Bridelia exaltata",0.774,"AUSTRAITS_dataset_49"
"302","Bridelia exaltata",0.659,"AUSTRAITS_dataset_34"
"303","Bridelia exaltata",0.702,"AUSTRAITS_dataset_34"
"307","Bursaria incana",0.74,"AUSTRAITS_dataset_61"
"339","Callistemon salignus",0.839,"AUSTRAITS_dataset_34"
"344","Callistemon viminalis",0.689,"AUSTRAITS_dataset_34"
"357","Canarium australasicum",0.61,"AUSTRAITS_dataset_49"
"358","Canarium australasicum",0.652,"AUSTRAITS_dataset_34"
"360","Canarium australasicum",0.49,"AUSTRAITS_dataset_34"
"369","Capparis arborea",0.7,"AUSTRAITS_dataset_49"
"370","Capparis arborea",0.672,"AUSTRAITS_dataset_28"
"371","Capparis arborea",0.621,"AUSTRAITS_dataset_28"
"372","Capparis arborea",0.65,"AUSTRAITS_dataset_28"
"377","Capparis arborea",0.762,"AUSTRAITS_dataset_34"
"401","Carronia multisepalea",0.5805,"AUSTRAITS_dataset_49"
"409","Castanospermum australe",0.583,"AUSTRAITS_dataset_49"
"418","Castanospermum australe",0.596,"AUSTRAITS_dataset_34"
"419","Castanospermum australe",0.65,"AUSTRAITS_dataset_34"
"420","Castanospermum australe",0.63,"AUSTRAITS_dataset_34"
"434","Casuarina cunninghamiana",0.71,"AUSTRAITS_dataset_34"
"435","Casuarina cunninghamiana",0.615,"AUSTRAITS_dataset_34"
"436","Casuarina cunninghamiana",0.771,"AUSTRAITS_dataset_34"
"441","Casuarina cunninghamiana",0.612200593,"J. Lawson"
"474","Celtis sinensis",0.59,"http://hub.hku.hk/handle/10722/35055"
"485","Cinnamomum camphora",0.460635,"Zanne, A.E., Lopez-Gonzalez, G.*, Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J. 2009. Global wood density database. Dryad. Identifier: http://hdl.handle.net/10255/dryad.235. http://hdl.handle.net/10255/dryad.235"
"490","Cinnamomum oliveri",0.463,"AUSTRAITS_dataset_49"
"491","Cinnamomum oliveri",0.474,"AUSTRAITS_dataset_34"
"492","Cinnamomum oliveri",0.482,"AUSTRAITS_dataset_34"
"535","Cissus antarctica",0.545107896,"raw data in Jillian M. Mueller. 2009. CONSERVATION MANAGEMENT UNDER CLIMATE CHANGE: ON TROPICAL DROUGHT RESISTANCE, NON-NATIVE SPECIES RESPONSE TO INCREASING DISTURBANCE, AND ASSISTED MIGRATION. University of Notre Dame, MSc thesis. "
"581","Citronella moorei",0.562,"AUSTRAITS_dataset_49"
"583","Citronella moorei",0.585,"AUSTRAITS_dataset_34"
"584","Citronella moorei",0.581,"AUSTRAITS_dataset_34"
"591","Cleistanthus cunninghamii",0.7869,"AUSTRAITS_dataset_49"
"593","Cleistanthus cunninghamii",0.486,"AUSTRAITS_dataset_28"
"595","Cleistanthus cunninghamii",0.569,"AUSTRAITS_dataset_28"
"596","Cleistanthus cunninghamii",0.733,"AUSTRAITS_dataset_28"
"629","Clematis aristata",0.2981," raw data in  Stuart S. 2011. Cold Comfort: Diversification and Adaptive Evolution across Latitudinal Gradients. PhD thesis, Integrative Biology
UC Berkeley."
"642","Commersonia bartramia",0.41,"AUSTRAITS_dataset_49"
"645","Commersonia bartramia",0.431,"AUSTRAITS_dataset_34"
"654","Cryptocarya bidwillii",0.645,"AUSTRAITS_dataset_49"
"658","Cryptocarya glaucescens",0.5418,"AUSTRAITS_dataset_49"
"669","Cryptocarya glaucescens",0.532,"AUSTRAITS_dataset_34"
"670","Cryptocarya glaucescens",0.551,"AUSTRAITS_dataset_34"
"672","Cryptocarya glaucescens",0.564,"AUSTRAITS_dataset_34"
"685","Cryptocarya obovata",0.5504,"AUSTRAITS_dataset_49"
"686","Cryptocarya obovata",0.413,"AUSTRAITS_dataset_34"
"687","Cryptocarya obovata",0.527,"AUSTRAITS_dataset_34"
"688","Cryptocarya obovata",0.551,"AUSTRAITS_dataset_34"
"697","Cryptocarya triplinervis",0.65,"AUSTRAITS_dataset_34"
"715","Cupaniopsis anacardioides",0.7,"AUSTRAITS_dataset_49"
"727","Cupaniopsis anacardioides",0.835,"AUSTRAITS_dataset_34"
"747","Daphnandra apatela",0.559,"AUSTRAITS_dataset_49"
"749","Daphnandra tenuipes",0.5633,"AUSTRAITS_dataset_49"
"810","Diospyros australis",0.633,"AUSTRAITS_dataset_34"
"815","Diospyros fasciculosa",0.69,"AUSTRAITS_dataset_49"
"823","Diospyros pentamera",0.569,"AUSTRAITS_dataset_49"
"831","Diospyros pentamera",0.603,"AUSTRAITS_dataset_34"
"832","Diospyros pentamera",0.633,"AUSTRAITS_dataset_34"
"841","Diploglottis australis",0.5977,"AUSTRAITS_dataset_49"
"844","Diploglottis australis",0.577,"AUSTRAITS_dataset_34"
"845","Diploglottis australis",0.689,"AUSTRAITS_dataset_34"
"850","Dissiliaria baloghioides",0.844,"AUSTRAITS_dataset_34"
"851","Dissiliaria baloghioides",0.842,"AUSTRAITS_dataset_34"
"852","Dissiliaria baloghioides",0.857,"AUSTRAITS_dataset_34"
"864","Drypetes deplanchei",0.788,"AUSTRAITS_dataset_34"
"865","Drypetes deplanchei",0.747,"AUSTRAITS_dataset_34"
"867","Drypetes deplanchei",0.799,"AUSTRAITS_dataset_34"
"878","Dysoxylum rufum",0.551,"AUSTRAITS_dataset_34"
"903","Elaeocarpus obovatus",0.6063,"AUSTRAITS_dataset_49"
"907","Elaeocarpus obovatus",0.607,"AUSTRAITS_dataset_34"
"915","Elattostachys nervosa",0.6622,"AUSTRAITS_dataset_49"
"919","Elattostachys xylocarpa",0.6622,"AUSTRAITS_dataset_49"
"920","Elattostachys xylocarpa",0.663,"AUSTRAITS_dataset_34"
"952","Endiandra discolor",0.548,"AUSTRAITS_dataset_49"
"953","Endiandra discolor",0.58,"AUSTRAITS_dataset_39"
"958","Endiandra discolor",0.558,"AUSTRAITS_dataset_34"
"959","Endiandra discolor",0.663,"AUSTRAITS_dataset_34"
"964","Endiandra globosa",0.72,"AUSTRAITS_dataset_49"
"966","Endiandra globosa",0.788,"AUSTRAITS_dataset_34"
"971","Endiandra pubens",0.6493,"AUSTRAITS_dataset_49"
"972","Endiandra pubens",0.65,"AUSTRAITS_dataset_34"
"974","Endiandra sieberi",0.645,"AUSTRAITS_dataset_49"
"979","Endiandra sieberi",0.62,"AUSTRAITS_dataset_34"
"987","Erythrina species 'croftby'",0.215,"AUSTRAITS_dataset_49"
"991","Eugenia uniflora",0.7568,"Zanne, A.E., Lopez-Gonzalez, G.*, Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J. 2009. Global wood density database. Dryad. Identifier: http://hdl.handle.net/10255/dryad.235. http://hdl.handle.net/10255/dryad.235"
"1010","Eupomatia laurina",0.478,"AUSTRAITS_dataset_28"
"1014","Eupomatia laurina",0.508,"AUSTRAITS_dataset_28"
"1018","Eupomatia laurina",0.515,"AUSTRAITS_dataset_28"
"1023","Eupomatia laurina",0.5,"AUSTRAITS_dataset_39"
"1039","Eupomatia laurina",0.544,"AUSTRAITS_dataset_34"
"1048","Euroschinus falcatus",0.412,"AUSTRAITS_dataset_49"
"1050","Euroschinus falcatus",0.45,"AUSTRAITS_dataset_39"
"1055","Euroschinus falcatus",0.413,"AUSTRAITS_dataset_34"
"1057","Euroschinus falcatus",0.415,"AUSTRAITS_dataset_34"
"1061","Ficus coronata",0.3999,"AUSTRAITS_dataset_49"
"1065","Ficus coronata",0.521,"AUSTRAITS_dataset_28"
"1069","Ficus coronata",0.4,"AUSTRAITS_dataset_28"
"1070","Ficus coronata",0.47,"AUSTRAITS_dataset_28"
"1079","Ficus coronata",0.400365,"Global Wood Density Database"
"1084","Ficus fraseri",0.39,"AUSTRAITS_dataset_49"
"1087","Ficus fraseri",0.406,"AUSTRAITS_dataset_28"
"1088","Ficus fraseri",0.502,"AUSTRAITS_dataset_28"
"1090","Ficus fraseri",0.585,"AUSTRAITS_dataset_28"
"1092","Ficus fraseri",0.421,"AUSTRAITS_dataset_28"
"1094","Ficus fraseri",0.401,"AUSTRAITS_dataset_34"
"1095","Ficus fraseri",0.396,"AUSTRAITS_dataset_34"
"1099","Ficus obliqua",0.51,"AUSTRAITS_dataset_49"
"1105","Ficus obliqua",0.495,"AUSTRAITS_dataset_34"
"1106","Ficus obliqua",0.534,"AUSTRAITS_dataset_34"
"1112","Ficus opposita",0.44,"AUSTRAITS_dataset_39"
